               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.025642,            0.013676,                   0,             0.57067,              0.9308,             0.69776,             0.25642,            0.017934,           0.0054515,                   0,            0.030689,           0.0046894,           0.0046894
                  75,            0.039871,            0.015071,                   0,             0.89046,             0.81347,             0.96081,             0.39565,            0.015508,           0.0053917,                   0,            0.029716,           0.0047156,           0.0047156
                  76,            0.028982,            0.013832,                   0,             0.64637,               0.823,             0.75819,              0.4274,            0.016324,           0.0050374,                   0,            0.028741,           0.0047409,           0.0047409
                  77,            0.046653,            0.017061,                   0,             0.55977,                 0.8,             0.71884,             0.33702,            0.015975,           0.0049384,                   0,            0.027765,           0.0047651,           0.0047651
                  78,            0.026027,            0.014874,                   0,             0.52424,                 0.9,             0.73816,             0.41746,            0.016495,           0.0050664,                   0,            0.026788,           0.0047884,           0.0047884
                  79,             0.02475,            0.014077,                   0,                   1,             0.74048,             0.93527,             0.42281,            0.013767,           0.0051051,                   0,            0.025811,           0.0048107,           0.0048107
                  80,            0.025591,            0.014584,                   0,              0.6946,             0.79619,              0.8409,             0.46638,            0.014444,           0.0050899,                   0,            0.024832,            0.004832,            0.004832
                  81,            0.041505,             0.01773,                   0,                   1,             0.89565,              0.9787,             0.46884,            0.011924,            0.005295,                   0,            0.023852,           0.0048523,           0.0048523
                  82,            0.023678,            0.013668,                   0,             0.61011,                0.75,             0.80541,             0.45824,            0.016459,           0.0052283,                   0,            0.022872,           0.0048716,           0.0048716
                  83,            0.026933,            0.012913,                   0,             0.82348,             0.69978,              0.8595,             0.43362,            0.017727,           0.0054642,                   0,             0.02189,           0.0048899,           0.0048899
                  84,            0.021039,            0.014368,                   0,             0.63628,                   1,             0.83085,             0.42867,            0.011821,           0.0055563,                   0,            0.020907,           0.0049073,           0.0049073
                  85,            0.048303,             0.01591,                   0,             0.93783,                0.85,             0.95915,              0.5746,            0.013628,           0.0054793,                   0,            0.019924,           0.0049236,           0.0049236
                  86,            0.024288,               0.014,                   0,             0.57039,                 0.9,             0.81481,             0.39824,            0.014726,           0.0052381,                   0,            0.018939,            0.004939,            0.004939
                  87,            0.034655,            0.013657,                   0,             0.90422,                 0.9,             0.94635,             0.63166,            0.013003,           0.0049427,                   0,            0.017953,           0.0049533,           0.0049533
                  88,            0.024601,            0.012775,                   0,             0.68791,             0.99214,             0.81709,             0.43014,            0.013665,           0.0048631,                   0,            0.016967,           0.0049667,           0.0049667
                  89,            0.027116,            0.013213,                   0,             0.67169,                0.95,             0.79526,             0.52136,            0.011896,           0.0046888,                   0,            0.015979,           0.0049791,           0.0049791
                  90,            0.025465,            0.013703,                   0,             0.74132,                 0.9,             0.86701,             0.46979,            0.013092,           0.0046535,                   0,             0.01499,           0.0049905,           0.0049905
                  91,            0.024022,            0.016128,                   0,             0.94996,             0.94927,             0.95814,             0.56109,             0.01012,           0.0043988,                   0,            0.014001,           0.0050009,           0.0050009
                  92,            0.028913,            0.013802,                   0,             0.78082,             0.89093,             0.87712,             0.49861,             0.01628,           0.0045331,                   0,             0.01301,           0.0050103,           0.0050103
                  93,            0.030196,            0.015159,                   0,             0.94993,              0.9486,             0.97454,             0.56997,            0.012442,           0.0043297,                   0,            0.012019,           0.0050187,           0.0050187
                  94,            0.022306,            0.014011,                   0,             0.86854,             0.99135,             0.96432,             0.60488,            0.010557,           0.0044453,                   0,            0.011026,           0.0050262,           0.0050262
                  95,            0.026874,            0.013184,                   0,             0.98858,                 0.9,             0.98372,             0.53836,              0.0134,           0.0047619,                   0,            0.010033,           0.0050326,           0.0050326
                  96,            0.051363,            0.012633,                   0,                   1,             0.97832,               0.995,             0.55567,            0.012391,           0.0046205,                   0,           0.0090381,           0.0050381,           0.0050381
                  97,            0.053021,            0.013409,                   0,             0.90161,             0.91691,             0.96159,             0.61498,            0.012225,            0.004324,                   0,           0.0080425,           0.0050425,           0.0050425
                  98,            0.026321,            0.013322,                   0,             0.90851,             0.99335,             0.94741,             0.51534,            0.013337,           0.0045971,                   0,            0.007046,            0.005046,            0.005046
                  99,            0.027519,            0.010861,                   0,             0.94586,                   1,             0.99262,              0.5802,            0.011741,           0.0042133,                   0,           0.0060485,           0.0050485,           0.0050485
                 100,            0.021515,            0.011851,                   0,             0.99529,                   1,               0.995,             0.54552,            0.010726,           0.0040604,                   0,             0.00505,             0.00505,             0.00505
                 101,             0.02314,            0.015534,                   0,             0.99367,                   1,               0.995,             0.63142,            0.010918,           0.0039465,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.023687,            0.013723,                   0,              0.9954,                   1,               0.995,             0.64179,            0.010882,           0.0038905,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.036077,            0.013053,                   0,                   1,             0.99074,               0.995,             0.72738,           0.0086895,           0.0035855,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.023444,            0.013167,                   0,             0.99776,                   1,               0.995,             0.60626,            0.011185,           0.0035921,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.027322,             0.01161,                   0,             0.95235,             0.99928,             0.98548,             0.64033,            0.012202,           0.0036246,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.020574,            0.012221,                   0,             0.99734,                   1,               0.995,             0.59268,            0.010761,           0.0034711,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.033498,            0.012152,                   0,             0.95165,                0.95,             0.99262,             0.66178,             0.01151,           0.0034284,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.018614,            0.011183,                   0,              0.9926,                   1,               0.995,             0.72708,           0.0097302,           0.0034432,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.040058,            0.013513,                   0,             0.99371,                   1,               0.995,             0.65569,            0.010223,            0.003458,                   0,            0.004654,            0.004654,            0.004654
                 110,             0.01891,            0.012178,                   0,             0.94872,                   1,             0.98071,             0.77326,           0.0089642,           0.0034168,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.022669,            0.011047,                   0,             0.79983,             0.99897,              0.9346,             0.54042,            0.011138,           0.0033271,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.023753,            0.013124,                   0,                   1,             0.99798,               0.995,             0.80486,           0.0071074,           0.0029976,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.018668,            0.012322,                   0,                   1,             0.99655,               0.995,             0.63965,           0.0096922,           0.0031778,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.049713,             0.01165,                   0,                   1,             0.99389,               0.995,             0.63604,           0.0094952,           0.0032218,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.020578,            0.011032,                   0,                   1,             0.99962,               0.995,             0.74477,           0.0073649,           0.0032017,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.022022,            0.011848,                   0,             0.95162,                   1,             0.99262,             0.75114,           0.0086333,              0.0033,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,             0.02781,             0.01585,                   0,             0.99974,                   1,               0.995,             0.77533,           0.0065806,           0.0033332,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.018894,            0.011458,                   0,             0.94596,                0.95,             0.98598,             0.65802,            0.010258,           0.0034878,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.022609,           0.0091998,                   0,             0.95213,             0.99468,             0.99262,             0.74624,           0.0092725,           0.0033218,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.046458,            0.012096,                   0,                   1,             0.99726,               0.995,             0.76741,            0.006588,           0.0031809,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.052108,            0.013275,                   0,                   1,              0.9929,               0.995,             0.68335,            0.010248,           0.0032566,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.022113,             0.01093,                   0,                   1,             0.99499,               0.995,             0.76904,           0.0067655,           0.0030265,                   0,           0.0040105,           0.0040105,           0.0040105
